,date,open_p,high_p,low_p,close_p,prd_vlm,open_int
0,2019-11-01,3036.0,3065.0,3033.0,3063.25,1225064,0
1,2019-10-31,3051.75,3052.0,3020.25,3035.75,1766536,2507355
2,2019-10-30,3036.5,3055.0,3023.25,3047.75,1179153,2534765
3,2019-10-29,3038.25,3046.25,3029.5,3035.75,1040149,2522874
4,2019-10-28,3023.0,3042.75,3022.75,3036.25,1041931,2507590
5,2019-10-25,3003.75,3026.5,3000.0,3020.25,1098391,2496273
6,2019-10-24,3006.0,3015.25,2998.75,3004.25,1061278,2488017
7,2019-10-23,2992.0,3006.0,2982.0,3005.75,1055958,2471470
8,2019-10-22,3006.5,3014.25,2988.25,2994.5,1125601,2457791
9,2019-10-21,2984.75,3007.5,2983.75,3006.5,886557,2449385
10,2019-10-18,2997.75,3001.25,2975.0,2988.25,1335276,2440088
11,2019-10-17,2992.25,3008.0,2985.25,2998.0,1121748,2447188
12,2019-10-16,2996.5,2997.75,2984.75,2991.5,1148118,2458025
13,2019-10-15,2966.75,3003.25,2966.5,2997.75,1181207,2470030
14,2019-10-14,2968.0,2982.5,2953.75,2965.5,833670,2479579
15,2019-10-11,2949.0,2994.0,2941.75,2970.75,1743810,2491094
16,2019-10-10,2920.5,2954.0,2881.75,2941.0,1577766,2456474
17,2019-10-09,2893.5,2934.25,2888.25,2919.0,1305749,2455330
18,2019-10-08,2934.5,2950.0,2890.5,2892.5,1865325,2459880
19,2019-10-07,2929.75,2959.5,2928.0,2937.5,1266872,2437773
20,2019-10-04,2911.5,2953.25,2896.75,2951.0,1497975,2436327
21,2019-10-03,2883.75,2912.5,2855.0,2911.75,2037970,2450729
22,2019-10-02,2942.25,2949.0,2874.0,2880.5,2126769,2448016
23,2019-10-01,2984.0,2994.5,2937.0,2937.75,1601531,2452944
24,2019-09-30,2976.0,2986.25,2964.5,2978.5,1155807,2457568
25,2019-09-27,2979.75,2993.0,2946.25,2963.75,1673557,2447652
26,2019-09-26,2985.75,2995.0,2964.25,2980.5,1351351,2451888
27,2019-09-25,2971.0,2991.75,2953.75,2986.25,1501723,2454854
28,2019-09-24,3001.0,3012.25,2958.5,2970.25,1936806,2460425
29,2019-09-23,2995.75,3008.25,2982.0,2997.0,1044218,2440005
30,2019-09-20,3007.0,3018.0,2985.25,2989.5,1476593,2444952
31,2019-09-19,3010.0,3024.5,2991.25,3008.0,1323245,2432119
32,2019-09-18,3008.75,3013.75,2980.75,3008.5,1623840,2334444
33,2019-09-17,3004.25,3009.0,2993.75,3008.0,1699010,2128531
34,2019-09-16,2996.75,3005.25,2983.5,3001.5,1698082,1520061
35,2019-09-13,3012.0,3025.75,3005.75,3008.5,1324633,932866
36,2019-09-12,3004.25,3023.5,3001.0,3013.75,514866,463048
37,2019-09-11,2980.75,3006.0,2973.75,3003.75,1423833,2486973
38,2019-09-10,2981.0,2986.75,2959.0,2980.25,1493346,2513360
39,2019-09-09,2982.0,2993.25,2971.25,2980.0,1199935,2498729
40,2019-09-06,2972.5,2990.0,2972.0,2982.5,1182287,2488650
41,2019-09-05,2939.75,2988.25,2938.25,2973.75,1669999,2494569
42,2019-09-04,2904.75,2941.25,2903.75,2940.25,1252834,2495612
43,2019-09-03,2902.75,2928.25,2890.75,2907.75,1999829,2490286
44,2019-08-30,2925.0,2948.25,2915.0,2926.5,1642516,2477540
45,2019-08-29,2885.0,2932.5,2877.0,2928.5,1489670,2498391
46,2019-08-28,2868.0,2892.25,2853.5,2891.5,1489617,2504504
47,2019-08-27,2884.5,2901.25,2861.75,2867.25,1528362,2502439
48,2019-08-26,2832.75,2890.25,2812.0,2885.0,1850231,2518844
49,2019-08-23,2922.0,2938.5,2835.75,2857.25,2864662,2500435
50,2019-08-22,2933.0,2941.5,2906.0,2924.0,1470309,2486077
51,2019-08-21,2895.0,2934.25,2894.75,2931.0,1180368,2493806
52,2019-08-20,2923.0,2934.0,2896.0,2900.0,1475214,2482684
53,2019-08-19,2894.75,2934.0,2894.25,2925.5,1285798,2455579
54,2019-08-16,2852.75,2896.5,2851.25,2893.25,1631175,2465029
55,2019-08-15,2837.75,2873.5,2819.5,2850.25,2495340,2513286
56,2019-08-14,2932.75,2938.25,2837.5,2842.5,2786308,2489161
57,2019-08-13,2884.0,2946.0,2868.5,2933.75,2184012,2474720
58,2019-08-12,2920.5,2932.75,2874.25,2882.0,1710875,2465174
59,2019-08-09,2929.75,2937.5,2900.75,2921.5,2026304,2459531
60,2019-08-08,2880.75,2942.5,2872.25,2941.75,1800667,2482349
61,2019-08-07,2875.5,2893.25,2825.0,2882.25,2680813,2503075
62,2019-08-06,2818.0,2885.5,2777.5,2877.75,2601037,2534695
63,2019-08-05,2931.0,2935.25,2822.25,2831.75,3072122,2546479
64,2019-08-02,2952.0,2962.75,2915.25,2934.25,2447014,2543600
65,2019-08-01,2972.0,3016.0,2946.25,2953.75,2736926,2591795
66,2019-07-31,3018.0,3022.5,2959.75,2984.0,1951108,2563073
67,2019-07-30,3024.0,3029.25,3003.25,3014.0,1182050,2589607
68,2019-07-29,3023.75,3029.0,3017.25,3023.5,823572,2590697
69,2019-07-26,3008.25,3031.25,3007.75,3026.25,961015,2601816
70,2019-07-25,3019.75,3029.5,2999.75,3008.25,1333721,2593077
71,2019-07-24,3004.75,3023.75,2997.75,3023.25,1068766,2610627
72,2019-07-23,2990.5,3010.25,2989.25,3009.75,1056909,2594758
73,2019-07-22,2976.25,2995.25,2974.25,2990.75,1098399,2578540
74,2019-07-19,3005.5,3011.5,2971.25,2978.75,1482373,2581006
75,2019-07-18,2982.5,3007.0,2976.25,2999.25,1345038,2609493
76,2019-07-17,3007.5,3014.75,2982.25,2986.75,1039457,2605527
77,2019-07-16,3019.0,3023.5,3006.25,3008.75,939814,2602908
78,2019-07-15,3017.0,3025.25,3012.5,3019.0,829936,2615781
79,2019-07-12,3004.75,3019.75,3004.0,3017.25,969956,2604976
80,2019-07-11,2997.75,3008.5,2994.25,3005.75,1181911,2591653
81,2019-07-10,2984.0,3009.25,2973.0,2999.25,1422362,2589325
82,2019-07-09,2979.5,2988.0,2965.25,2983.75,956650,2535787
83,2019-07-08,2992.5,2996.5,2975.0,2980.25,1016611,2536264
84,2019-07-05,3002.5,3007.75,2973.0,2992.25,1339312,2550671
85,2019-07-03,2980.75,3003.25,2975.5,3002.0,805258,2552643
86,2019-07-02,2969.75,2981.75,2960.25,2981.25,1119495,2512020
87,2019-07-01,2971.75,2983.5,2957.25,2969.5,1457722,2497814
88,2019-06-28,2934.5,2957.0,2931.75,2946.0,1322759,2447733
89,2019-06-27,2916.5,2937.5,2916.5,2932.75,1060248,2443809
90,2019-06-26,2924.25,2940.75,2916.25,2919.75,1232682,2454470
91,2019-06-25,2952.75,2960.0,2921.75,2923.75,1417191,2437612
92,2019-06-24,2949.75,2963.5,2949.0,2953.75,910166,2443361
93,2019-06-21,2959.5,2971.0,2949.5,2952.25,1547604,2440112
94,2019-06-20,2932.5,2966.25,2932.25,2961.75,1876076,2431817
95,2019-06-19,2926.5,2938.5,2917.0,2935.25,1666878,2336928
96,2019-06-18,2899.75,2938.25,2890.75,2928.0,2257843,2093571
97,2019-06-17,2896.75,2906.5,2893.75,2898.0,1649621,1595842
98,2019-06-14,2899.25,2904.5,2886.0,2896.5,1318938,951568
99,2019-06-13,2887.75,2902.25,2873.25,2900.25,523312,448119
100,2019-06-12,2893.0,2896.75,2881.0,2886.75,1205406,2495060
101,2019-06-11,2896.0,2917.25,2885.0,2892.75,1397028,2530596
102,2019-06-10,2899.0,2911.5,2886.25,2895.0,1416247,2552148
103,2019-06-07,2845.75,2892.0,2843.75,2880.75,1687328,2550208
104,2019-06-06,2826.25,2858.75,2818.5,2851.5,1566762,2541326
105,2019-06-05,2812.25,2835.25,2806.75,2833.5,1743779,2539499
106,2019-06-04,2759.75,2812.0,2749.75,2810.75,1836910,2570524
107,2019-06-03,2746.75,2769.5,2734.5,2755.25,2297243,2576711
108,2019-05-31,2794.5,2796.75,2755.75,2758.25,2211587,2580670
109,2019-05-30,2785.25,2804.75,2782.25,2796.25,1282029,2569355
110,2019-05-29,2810.0,2811.75,2772.0,2785.75,2087458,2577428
111,2019-05-28,2836.75,2847.0,2806.25,2810.75,1633540,2574079
112,2019-05-24,2827.5,2847.75,2825.0,2837.5,1201967,2571660
113,2019-05-23,2863.5,2864.25,2811.5,2825.25,2013518,2573179
114,2019-05-22,2870.5,2875.25,2854.0,2863.25,1258767,2570144
115,2019-05-21,2853.75,2876.5,2852.0,2871.75,1303238,2568376
116,2019-05-20,2867.25,2882.25,2838.25,2849.75,1659139,2577304
117,2019-05-17,2885.5,2893.25,2858.25,2867.75,1926351,2576603
118,2019-05-16,2859.25,2899.75,2846.25,2884.25,1687728,2569435
119,2019-05-15,2846.5,2865.75,2820.75,2860.75,1753507,2570615
120,2019-05-14,2811.75,2859.5,2805.5,2845.0,1797995,2582391
121,2019-05-13,2864.25,2875.0,2807.75,2812.75,2790074,2603641
122,2019-05-10,2875.5,2898.75,2831.75,2892.75,2848095,2572256
123,2019-05-09,2889.75,2891.25,2842.0,2878.5,2705412,2579688
124,2019-05-08,2895.5,2905.25,2874.5,2893.0,2043325,2575029
125,2019-05-07,2917.5,2936.25,2868.25,2896.5,2813033,2580940
126,2019-05-06,2923.5,2944.0,2889.25,2938.25,2037157,2592736
127,2019-05-03,2924.25,2955.25,2922.25,2953.25,1295606,2598862
128,2019-05-02,2922.25,2938.5,2906.75,2923.25,1813837,2599855
129,2019-05-01,2960.75,2967.0,2921.75,2928.75,1502201,2603085
130,2019-04-30,2948.25,2962.25,2931.75,2954.25,1491268,2584732
131,2019-04-29,2945.0,2957.25,2943.5,2948.75,944846,2599060
132,2019-04-26,2929.5,2948.5,2923.0,2947.25,1246988,2622207
133,2019-04-25,2935.75,2941.5,2920.0,2932.0,1376185,2615681
134,2019-04-24,2943.0,2945.5,2933.5,2936.5,1125250,2618456
135,2019-04-23,2917.5,2945.5,2913.75,2943.75,1193738,2636860
136,2019-04-22,2914.5,2921.5,2904.75,2918.25,706067,2598555
137,2019-04-18,2906.75,2917.5,2895.25,2915.75,1335778,2606814
138,2019-04-17,2916.0,2929.25,2904.25,2906.25,1382265,2597888
139,2019-04-16,2916.0,2927.0,2910.25,2917.25,1124491,2585325
140,2019-04-15,2917.75,2920.25,2906.25,2915.25,955662,2570158
141,2019-04-12,2897.75,2920.5,2896.5,2918.25,1227893,2574551
142,2019-04-11,2900.5,2905.75,2891.0,2897.5,968649,2541473
143,2019-04-10,2887.75,2901.75,2883.75,2900.25,972310,2549282
144,2019-04-09,2904.25,2905.75,2883.0,2888.25,1182395,2531776
145,2019-04-08,2902.0,2905.5,2890.0,2904.0,978909,2523463
146,2019-04-05,2888.25,2903.75,2886.25,2901.75,1221029,2525234
147,2019-04-04,2886.5,2891.5,2876.75,2888.5,1045539,2519691
148,2019-04-03,2871.75,2895.0,2871.0,2885.5,1240848,2520462
149,2019-04-02,2874.25,2879.5,2868.0,2872.75,859942,2503607
150,2019-04-01,2850.25,2879.25,2850.25,2876.25,1256933,2507319
151,2019-03-29,2826.25,2846.5,2826.0,2843.5,1491974,2485145
152,2019-03-28,2812.75,2830.0,2800.75,2826.75,1185882,2484617
153,2019-03-27,2829.25,2837.5,2797.5,2816.25,1726746,2488083
154,2019-03-26,2814.25,2840.75,2811.75,2828.75,1461068,2484868
155,2019-03-25,2818.75,2824.25,2795.25,2812.75,1801326,2484528
156,2019-03-22,2865.25,2870.5,2811.0,2816.5,2254842,2459994
157,2019-03-21,2829.5,2871.75,2819.5,2868.25,1657949,2486193
158,2019-03-20,2843.0,2855.0,2823.0,2832.75,1693207,2487480
159,2019-03-19,2847.25,2864.5,2834.75,2842.25,1497577,2485162
160,2019-03-18,2832.75,2847.75,2829.75,2846.25,1036540,2435313
161,2019-03-15,2819.25,2842.25,2818.25,2835.5,1382358,2417944
162,2019-03-14,2826.75,2830.75,2814.25,2818.0,1247105,2367504
