,date,open_p,high_p,low_p,close_p,prd_vlm,open_int
0,2019-11-01,8094.25,8168.0,8084.5,8160.25,346274,0
1,2019-10-31,8128.5,8139.0,8046.0,8090.25,448458,226765
2,2019-10-30,8057.25,8141.0,8020.5,8111.25,381307,229194
3,2019-10-29,8109.25,8118.75,8050.75,8055.25,351246,228200
4,2019-10-28,8048.0,8127.5,8048.0,8094.75,309114,225999
5,2019-10-25,7928.5,8041.5,7918.5,8035.75,348318,226040
6,2019-10-24,7922.75,7984.0,7913.25,7928.25,380967,217854
7,2019-10-23,7846.25,7918.25,7810.25,7901.5,348671,218779
8,2019-10-22,7949.25,7988.75,7837.25,7858.75,377545,217502
9,2019-10-21,7874.25,7951.75,7865.75,7948.25,275031,213748
10,2019-10-18,7953.75,7958.5,7835.75,7880.75,437753,215171
11,2019-10-17,7954.25,7994.75,7922.0,7952.75,368623,212983
12,2019-10-16,7960.0,7960.25,7907.5,7948.5,347550,209743
13,2019-10-15,7862.25,7971.75,7859.75,7959.75,347657,213295
14,2019-10-14,7850.25,7894.75,7807.0,7857.5,311101,209982
15,2019-10-11,7783.25,7918.5,7767.0,7859.0,490521,208077
16,2019-10-10,7702.25,7798.75,7583.25,7760.25,535042,203141
17,2019-10-09,7621.0,7732.0,7604.5,7699.75,404170,202788
18,2019-10-08,7736.0,7784.5,7613.5,7622.0,552145,202008
19,2019-10-07,7712.5,7799.75,7682.5,7740.0,381262,203828
20,2019-10-04,7656.75,7773.75,7624.0,7767.25,420539,205915
21,2019-10-03,7551.5,7661.5,7474.25,7658.5,582820,199615
22,2019-10-02,7711.0,7730.5,7525.5,7546.25,586568,201927
23,2019-10-01,7784.0,7841.5,7691.0,7695.5,478759,205896
24,2019-09-30,7735.5,7788.75,7705.75,7770.5,337872,204802
25,2019-09-27,7787.0,7822.0,7641.0,7701.25,598171,200335
26,2019-09-26,7822.5,7842.75,7734.75,7787.25,489320,198353
27,2019-09-25,7738.25,7844.25,7663.0,7820.25,540081,202601
28,2019-09-24,7869.0,7904.75,7701.75,7735.25,609261,202427
29,2019-09-23,7839.25,7897.5,7807.75,7850.5,348180,197094
30,2019-09-20,7921.0,7952.25,7810.75,7830.5,425158,197518
31,2019-09-19,7925.0,7973.75,7852.5,7918.0,400780,193369
32,2019-09-18,7916.25,7929.5,7813.5,7918.0,402501,185332
33,2019-09-17,7887.0,7921.5,7850.75,7914.5,331358,162630
34,2019-09-16,7878.5,7895.0,7798.25,7879.5,336745,121448
35,2019-09-13,7938.0,7978.5,7904.0,7908.25,316298,67239
36,2019-09-12,7913.75,8002.5,7908.5,7942.5,51999,26416
37,2019-09-11,7839.5,7926.0,7807.5,7910.75,383871,196253
38,2019-09-10,7855.0,7878.75,7765.25,7836.0,446533,195179
39,2019-09-09,7878.0,7908.0,7819.5,7851.75,372953,200396
40,2019-09-06,7874.5,7916.0,7859.25,7878.75,356484,195917
41,2019-09-05,7743.0,7907.75,7738.25,7876.5,478413,199597
42,2019-09-04,7635.25,7751.0,7629.5,7743.75,399672,197519
43,2019-09-03,7649.25,7716.5,7601.75,7638.5,643037,195460
44,2019-08-30,7725.25,7791.5,7667.0,7711.75,450746,194511
45,2019-08-29,7603.25,7751.25,7569.5,7733.0,447668,193338
46,2019-08-28,7585.0,7626.75,7525.25,7620.25,480975,198338
47,2019-08-27,7612.5,7669.5,7558.0,7583.75,520966,196513
48,2019-08-26,7456.0,7647.0,7374.25,7611.5,617907,191069
49,2019-08-23,7726.75,7783.0,7468.75,7525.5,763864,195315
50,2019-08-22,7777.0,7803.25,7675.0,7732.25,487622,189912
51,2019-08-21,7676.0,7786.75,7673.25,7771.25,344352,189835
52,2019-08-20,7738.25,7773.0,7676.5,7689.0,414176,189290
53,2019-08-19,7638.25,7771.0,7637.0,7748.5,401476,192712
54,2019-08-16,7530.25,7653.5,7523.5,7632.75,449473,188294
55,2019-08-15,7490.0,7593.75,7409.25,7517.25,705042,190674
56,2019-08-14,7767.5,7788.5,7498.0,7509.75,825231,191047
57,2019-08-13,7591.25,7810.5,7535.0,7769.0,674983,192105
58,2019-08-12,7675.5,7731.0,7555.75,7587.75,552715,196173
59,2019-08-09,7720.5,7745.0,7617.75,7681.25,619044,195531
60,2019-08-08,7574.5,7759.5,7547.0,7756.75,553666,199599
61,2019-08-07,7533.75,7598.5,7408.5,7574.25,851275,198558
62,2019-08-06,7370.0,7570.0,7245.5,7536.5,845239,203025
63,2019-08-05,7722.75,7726.5,7380.75,7406.25,848399,211098
64,2019-08-02,7818.0,7827.0,7671.25,7723.25,736453,224724
65,2019-08-01,7855.0,8035.5,7797.75,7829.25,772956,233209
66,2019-07-31,8013.5,8022.25,7803.25,7887.75,556437,231020
67,2019-07-30,8025.25,8041.0,7949.25,7984.25,394698,226966
68,2019-07-29,8038.5,8052.75,7972.75,8022.25,301214,226641
69,2019-07-26,8013.0,8061.75,8008.5,8040.75,322305,225282
70,2019-07-25,8025.5,8055.5,7938.25,8002.75,433945,222746
71,2019-07-24,7965.0,8072.75,7946.25,8059.0,356159,224756
72,2019-07-23,7947.5,8006.75,7929.0,8004.75,357765,223491
